causal/Audio_Influence,causal/Text_Influence,causal/Video_Influence,causal/temperature,epoch,lr-AdamW,step,test_acc,test_auroc,test_bal_acc,test_balanced_acc,test_loss,test_loss_causal,test_loss_diff,test_loss_kl,test_loss_recon,test_loss_task,test_macro_f1,train_acc,train_bal_acc,train_loss,train_loss_causal,train_loss_diff,train_loss_kl,train_loss_recon,train_loss_task,val/hallucination_acc,val/latent_drift_t0,val_acc,val_bal_acc,val_loss,val_loss_causal,val_loss_diff,val_loss_kl,val_loss_recon,val_loss_task,warmup/gamma_diff,warmup/gamma_kl,warmup/gamma_recon
,,,,,5e-05,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,9,,,,,,,,,,,,0.234375,,3.0324106216430664,0.2212439775466919,1.1497801542282104,0.4754001796245575,0.0,3.021348476409912,,,,,,,,,,,0.0,0.0,0.05000000074505806
,,,,,5e-05,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,19,,,,,,,,,,,,0.28125,,2.676313638687134,0.21758536994457245,1.1510368585586548,0.4913650453090668,0.0,2.6654343605041504,,,,,,,,,,,0.0,0.0,0.05000000074505806
,,,,,5e-05,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,29,,,,,,,,,,,,0.3125,,2.9179205894470215,0.21189577877521515,1.1513267755508423,0.5130141377449036,0.0,2.9073257446289062,,,,,,,,,,,0.0,0.0,0.05000000074505806
0.332366019487381,0.34242022037506104,0.3252137005329132,,0,,30,,,,,,,,,,,,,,,,,,,,,0.20518477261066437,0.6706444025039673,0.18957838416099548,2.7415926456451416,0.21421340107917786,1.1395623683929443,0.544366180896759,0.0,2.730882167816162,,,
,,,1.0,0,,30,,,,,,,,,,,,,0.14458484947681427,,,,,,,,,,,,,,,,,,,
,,,,,9.5e-05,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,39,,,,,,,,,,,,0.46875,,2.725661039352417,0.2344941794872284,1.1534295082092285,0.5421309471130371,0.0,2.6597232818603516,,,,,,,,,,,0.0,0.10000000149011612,0.10000000149011612
,,,,,9.5e-05,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,49,,,,,,,,,,,,0.40625,,3.6837031841278076,0.23286421597003937,1.1502689123153687,0.5549877882003784,0.0,3.6165611743927,,,,,,,,,,,0.0,0.10000000149011612,0.10000000149011612
,,,,,9.5e-05,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,59,,,,,,,,,,,,0.53125,,2.7856087684631348,0.2184930294752121,1.1462604999542236,0.536540687084198,0.0,2.7210302352905273,,,,,,,,,,,0.0,0.10000000149011612,0.10000000149011612
0.33306607604026794,0.3801395297050476,0.28679439425468445,,1,,61,,,,,,,,,,,,,,,,,,,,,0.21588797867298126,0.6682577729225159,0.18703262507915497,2.772486925125122,0.2101399302482605,1.1416301727294922,0.5563869476318359,0.0,2.706341028213501,,,
,,,0.949999988079071,1,,61,,,,,,,,,,,,,0.16166719794273376,,,,,,,,,,,,,,,,,,,
,,,,,0.00014000000000000001,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,69,,,,,,,,,,,,0.359375,,2.782550096511841,0.21942850947380066,1.1525641679763794,0.5052301287651062,0.0,2.670532703399658,,,,,,,,,,,0.0,0.20000000298023224,0.15000000596046448
,,,,,0.00014000000000000001,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,79,,,,,,,,,,,,0.484375,,2.632721424102783,0.21662259101867676,1.1515796184539795,0.4621298313140869,0.0,2.5294642448425293,,,,,,,,,,,0.0,0.20000000298023224,0.15000000596046448
,,,,,0.00014000000000000001,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
